rank,patent_id,affiliate,title,grant_date,assignee,years_remaining,year_multiplier,forward_citations,competitor_citations,competitor_count,competitors,sector,sector_name,sector_source,eligibility_score,validity_score,claim_breadth,enforcement_clarity,design_around_difficulty,market_relevance_score,evidence_accessibility_score,trend_alignment_score,ipr_risk_score,prosecution_quality_score,score_aggressive,score_moderate,score_conservative,score_unified
319,9609499,Avago Technologies,"Apparatus and method to prioritize a random access procedure for emergency access",2017-03-28,"Avago Technologies General IP (Singapore) Pte. Ltd.",8.2,0.73,12,12,3,"NBCUniversal; Huawei; Qualcomm",wireless-iot,"Wireless / IoT Geofencing",term,,,,,,4,3,3,5,3.3,36.8,36.0,39.3,37.4
320,8997195,CA Technologies,"Access to vaulted credentials using login computer, mobile computing device, and manager computing device",2015-03-31,"CA, Inc.",6.2,0.65,38,17,5,"Amazon; Intel; NBCUniversal; Capital One; Cisco",cloud-auth,"Cloud / Authentication",term,,,,,,4,3,4,5,4,37.4,35.9,38.8,37.4
321,10360366,Symantec Enterprise,"Systems and methods for providing two-factor authentication with an enterprise gateway when an authentication server is unavailable",2019-07-23,"Symantec Corporation",10.5,0.83,5,5,3,"Microsoft; Dell EMC; Bank of America",computing-auth-boot,"Computing Auth & Secure Boot",cpc-subgroup,,,,,,4,3,4,5,,35.7,36.0,40.3,37.3
322,10642800,VMware,"Multi-tenant distributed computing and database",2020-05-05,"VMware LLC",14.3,0.97,13,7,2,"Oracle; Citrix",,"",none,,,,,,,,,,,36.4,35.8,39.7,37.3
323,8453143,VMware,"Reducing the latency of virtual interrupt delivery in virtual machines",2013-05-28,"VMware LLC",7.4,0.70,38,29,4,"Amazon; Red Hat; IBM; Intel",,"",none,,,,,,,,,,,40.5,35.7,35.5,37.3
324,11985389,Avago Technologies,"Object or region of interest video processing system and method",2024-05-14,"Avago Technologies International Sales Pte. Limited",15.3,1.00,0,0,0,"",video-server-cdn,"Video Server & CDN",cpc-subgroup,,,,,,5,3,5,5,2.3,31.1,37.3,43.3,37.2
325,10326788,Symantec Enterprise,"Systems and methods for identifying suspicious controller area network messages",2019-06-18,"Symantec Corporation",10.4,0.82,8,7,2,"Intel; Forcepoint",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,5,3,5,,,37.2,37.9,36.3,37.2
326,8599804,Broadcom,"Distributed signal field for communications within multiple user, multiple access, and/or MIMO wireless communications",2013-12-03,"Broadcom Corporation",4.9,0.59,97,79,3,"Marvell; Intel; Texas Instruments",wireless-mimo-antenna,"Wireless MIMO & Antenna",cpc-subgroup,,,,,,,,,,,40.5,36.6,34.3,37.1
327,11758027,Avago Technologies,"Efficient TLV style header parsing and editing",2023-09-12,"Avago Technologies International Sales Pte. Limited",14.7,0.99,0,0,0,"",network-protocols,"Network Protocols",cpc-subgroup,,,,,,4,3,3,5,5,29.4,35.3,46.6,37.1
328,9374327,VMware,"Intelligent chat system",2016-06-21,"VMware LLC",10.4,0.82,16,15,4,"Nintendo; Microsoft; IBM; Meta",,"",none,,,,,,,,,,,39.2,35.0,37.0,37.1
329,10423514,Symantec Enterprise,"Automated classification of mobile app battery consumption using simulation",2019-09-24,"Symantec Corporation",10.7,0.83,6,6,4,"Google; Huawei; Samsung; NetApp",computing-runtime,"Computing Runtime",cpc-subgroup,,,,,,3,2,4,5,,35.9,34.8,40.6,37.1
330,10509680,VMware,"Methods, systems and apparatus to perform a workflow in a software defined data center",2019-12-17,"VMware LLC",13.9,0.96,11,8,2,"Samsung; Salesforce",,"",none,,,,,,,,,,,36.6,35.5,39.1,37.1
331,9705678,Symantec Enterprise,"Fast CAN message authentication for vehicular systems",2017-07-11,"Symantec Corporation",8.5,0.74,44,16,6,"Verizon; Hyundai; Nokia; Intel; Huawei; Cisco",network-crypto,"Network Cryptography",cpc-subgroup,,,,,,,,,,,39.3,35.3,36.5,37.0
332,10476951,VMware,"Top-of-rack switch replacement for hyper-converged infrastructure computing environments",2019-11-12,"VMware LLC",13.8,0.95,8,7,3,"ServiceNow; Dell EMC; IBM",,"",none,,,,,,,,,,,36.9,34.9,39.3,37.0
333,8484405,VMware,"Memory compression policies",2013-07-09,"VMware LLC",7.5,0.70,19,19,8,"Samsung; Microsoft; Amazon; NVIDIA; Red Hat; Citrix; IBM; Google",,"",none,,,,,,,,,,,40.8,34.0,36.2,37.0
334,11853454,CA Technologies,"Systems and methods for preparing a secure search index for securely detecting personally identifiable information",2023-12-26,"CA, Inc.",14.9,1.00,2,0,0,"",computing-data-protection,"Computing Data Protection",cpc-subgroup,,,,,,4,2,5,5,4,29.5,36.0,45.5,37.0
335,8671449,Symantec Enterprise,"Systems and methods for identifying potential malware",2014-03-11,"Symantec Corporation",5.1,0.60,46,34,8,"McAfee; Sophos; Dell EMC; Google; Qualcomm; Palantir; Cisco; Microsoft",computing-os-security,"Computing OS Security",cpc-subgroup,,,,,,,,,,,41.2,34.7,35.1,37.0
336,11936590,Avago Technologies,"Punctured null data packet (NDP) within wireless communications",2024-03-19,"Avago Technologies International Sales Pte. Limited",15.2,1.00,1,0,0,"",network-multiplexing,"Network Multiplexing",cpc-subgroup,,,,,,4,3,4,5,4,29.5,35.9,45.6,37.0
337,11871367,Avago Technologies,"Frame formats for distributed MIMO",2024-01-09,"Avago Technologies International Sales Pte. Limited",15.0,1.00,1,0,0,"",wireless-scheduling,"Wireless Scheduling",cpc-subgroup,,,,,,4,2,4,5,4,29.5,35.9,45.6,37.0
338,10623372,Nicira (VMware SDN),"Load balancing IPsec tunnel processing with extended Berkeley packet filter (eBPF)",2020-04-14,"Nicira, Inc.",14.2,0.97,25,6,2,"Cisco; IBM",,"",none,,,,,,,,,,,35.3,36.1,39.5,37.0
339,11444872,Nicira (VMware SDN),"Method and system of application-aware routing with crowdsourcing",2022-09-13,"Nicira, Inc.",16.6,1.00,58,3,2,"Cisco; Oracle",,"",none,,,,,,,,,,,32.9,37.4,40.6,37.0
340,9483627,Symantec Enterprise,"Abstracting credentials for mobile client authentication",2016-11-01,"Symantec Corporation",7.8,0.71,28,15,4,"Palo Alto Networks; Microsoft; Amazon; Citrix",cloud-auth,"Cloud / Authentication",term,,,,,,4,2,4,5,1,37.8,36.4,36.7,37.0
341,8516470,Symantec Enterprise,"Version upgrade via viral infection",2013-08-20,"Symantec Corporation",4.6,0.57,249,97,1,"Intel",network-protocols,"Network Protocols",cpc-subgroup,,,,,,,,,,,38.6,38.2,34.0,37.0
342,8626723,VMware,"Storage-network de-duplication",2014-01-07,"VMware LLC",8.0,0.72,63,22,4,"Dell EMC; NetApp; Dropbox; IBM",,"",none,,,,,,,,,,,39.1,36.1,35.7,37.0
343,7958558,VMware,"Computational system including mechanisms for tracking propagation of information with aging",2011-06-07,"VMware LLC",5.4,0.61,56,33,7,"FireEye; IBM; Amazon; Rapid7; Intel; Google; Qualcomm",,"",none,,,,,,,,,,,40.7,35.0,35.0,36.9
344,10416986,VMware,"Automating application updates in a virtual computing environment",2019-09-17,"VMware LLC",13.7,0.95,9,7,3,"Juniper; Dell EMC; Bank of America",,"",none,,,,,,,,,,,36.8,34.8,39.1,36.9
345,11573860,VMware,"Verification of metadata consistency across snapshot copy-on-write (COW) B+tree logical maps",2023-02-07,"VMware LLC",17.0,1.00,8,7,1,"NetApp",,"",none,,,,,,,,,,,35.5,35.4,39.5,36.8
346,12349116,Avago Technologies,"Methods and systems for coexistence with licensed entities using beam steering",2025-07-01,"Avago Technologies International Sales Pte. Limited",16.5,1.00,0,0,0,"",wireless-scheduling,"Wireless Scheduling",cpc-subgroup,,,,,,5,2,5,5,2,30.8,37.0,42.5,36.8
347,10686766,Pivotal Software,"Credential management in cloud-based application deployment",2020-06-16,"PIVOTAL SOFTWARE, INC.",14.4,0.98,7,7,2,"Microsoft; Capital One",,"",none,,,,,,,,,,,36.2,34.9,39.2,36.8
348,9197298,Broadcom,"Group identification and definition within multiple user, multiple access, and/or MIMO wireless communications",2015-11-24,"Broadcom Corporation",6.9,0.68,44,41,1,"Marvell",wireless-mimo-antenna,"Wireless MIMO & Antenna",cpc-subgroup,,,,,,,,,,,40.1,35.9,34.1,36.7
349,8661428,VMware,"Updating a file using differences and file format therefor",2014-02-25,"VMware LLC",8.1,0.73,33,21,5,"Dropbox; Salesforce; Red Hat; IBM; Microsoft",,"",none,,,,,,,,,,,39.6,34.9,35.6,36.7
350,10666494,Nyansa,"System and method for network incident remediation recommendations",2020-05-26,"NYANSA, INC.",14.3,0.97,11,4,4,"Bank of America; Huawei; IBM; Dell EMC",,"",none,,,,,,,,,,,35.6,34.4,39.8,36.6
351,11706272,Avago Technologies,"Adaptive streaming with early client indication",2023-07-18,"Avago Technologies International Sales Pte. Limited",14.5,0.98,0,0,0,"",streaming-multimedia,"Streaming & Multimedia",cpc-subgroup,,,,,,4,3,4,5,5,29.0,34.8,46.0,36.6
352,11212101,CA Technologies,"Token exchange with client generated token",2021-12-28,"CA, Inc.",12.9,0.92,1,1,1,"Amazon",network-crypto,"Network Cryptography",cpc-subgroup,,,,,,4,1,4,5,3.3,32.1,35.4,42.4,36.6
353,11190528,Avago Technologies,"Light-weight mechanism for checking message integrity in data packets",2021-11-30,"Avago Technologies International Sales Pte. Limited",12.9,0.92,1,1,1,"Sony",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,4,2,4,5,3.3,32.1,35.4,42.4,36.6
354,11606311,Avago Technologies,"Managing devices within a vehicular communication network",2023-03-14,"Avago Technologies International Sales Pte. Limited",14.2,0.97,1,0,0,"",computing-systems,"Computing Systems",cpc-subgroup,,,,,,5,4,5,5,2.8,30.3,36.8,42.7,36.6
355,9148441,Symantec Enterprise,"Systems and methods for adjusting suspiciousness scores in event-correlation graphs",2015-09-29,"Symantec Corporation",6.7,0.67,51,25,6,"Sophos; McAfee; FireEye; Amazon; Bank of America; CrowdStrike",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,,,,,,39.7,34.9,35.1,36.6
356,7802000,VMware,"Virtual network in server farm",2010-09-21,"VMware LLC",4.7,0.58,334,23,7,"Amazon; IBM; Cisco; Red Hat; Microsoft; Google; Oracle",,"",none,,,,,,,,,,,37.1,37.4,35.2,36.6
357,9503860,CA Technologies,"Intelligent pursuit detection",2016-11-22,"CA, Inc.",7.9,0.72,16,10,3,"Amazon; Samsung; Texas Instruments",object-pose,"Object / Pose Detection",term,,,,,,4,4,4,5,4,35.3,35.1,39.2,36.5
358,9843520,Avi Networks,"Transparent network-services elastic scale-out",2017-12-12,"Avi Networks",11.9,0.88,15,11,3,"HPE; Cisco; NBCUniversal",,"",none,,,,,,,,,,,37.5,34.8,37.3,36.5
359,9167514,Broadcom,"Unequal amplifier gain compression via shaping table",2015-10-20,"Broadcom Corporation",6.8,0.67,42,38,2,"Analog Devices; Qorvo",wireless-power-mgmt,"Wireless Power Management",cpc-subgroup,,,,,,,,,,,40.0,35.5,34.1,36.5
360,10200267,Nyansa,"System and method for client network congestion detection, analysis, and management",2019-02-05,"NYANSA, INC.",13.0,0.92,24,7,3,"Zscaler; Bank of America; Intel",,"",none,,,,,,,,,,,35.9,35.2,38.3,36.5
361,12010313,Avago Technologies,"Architecture, method and system for video and arithmetic coding",2024-06-11,"Avago Technologies International Sales Pte. Limited",15.4,1.00,0,0,0,"",video-codec,"Video Codec",cpc-subgroup,,,,,,5,3,4,5,1.8,30.7,36.8,42.0,36.5
362,9455915,Broadcom,"Hierarchical congestion control with congested flow identification hardware",2016-09-27,"Broadcom Corporation",7.7,0.71,38,38,0,"",network-switching,"Network Switching & Routing",cpc-subgroup,,,,,,,,,,,39.5,35.9,33.9,36.4
363,11089111,VMware,"Layer four optimization for a virtual network defined over public cloud",2021-08-10,"VMware LLC",15.6,1.00,83,3,1,"Cisco",,"",none,,,,,,,,,,,31.5,37.9,39.9,36.4
364,9141790,Symantec Enterprise,"Systems and methods for using event-correlation graphs to detect attacks on computing systems",2015-09-22,"Symantec Corporation",6.7,0.67,47,25,6,"Microsoft; Amazon; Bank of America; Sophos; Rapid7; Juniper",computing-os-security,"Computing OS Security",cpc-subgroup,,,,,,,,,,,39.6,34.6,35.0,36.4
365,9087189,Symantec Enterprise,"Network access control for cloud services",2015-07-21,"Symantec Corporation",6.5,0.66,39,19,9,"Google; Cisco; Amazon; Mastercard; Bank of America; Forescout; Netskope; CrowdStrike; Huawei",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,,,,,,39.9,33.8,35.5,36.4
366,12081458,Avago Technologies,"Efficient convergence in network events",2024-09-03,"Avago Technologies International Sales Pte. Limited",15.6,1.00,0,0,0,"",network-switching,"Network Switching & Routing",cpc-subgroup,,,,,,4,2,4,5,4,29.2,35.0,45.0,36.4
367,11985073,Avago Technologies,"Multi-level video processing within a vehicular communication network",2024-05-14,"Avago Technologies International Sales Pte. Limited",15.3,1.00,0,0,0,"",computing-systems,"Computing Systems",cpc-subgroup,,,,,,4,3,4,5,4,29.2,35.0,45.0,36.4
368,11909670,Avago Technologies,"Power throttle for network switches",2024-02-20,"Avago Technologies International Sales Pte. Limited",15.1,1.00,0,0,0,"",computing-systems,"Computing Systems",cpc-subgroup,,,,,,4,2,5,5,4,29.2,35.0,45.0,36.4
369,11582144,VMware,"Routing mesh to provide alternate routes through SD-WAN edge forwarding nodes based on degraded operational states of SD-WAN hubs",2023-02-14,"VMware LLC",17.1,1.00,48,3,2,"Cisco; Juniper",,"",none,,,,,,,,,,,32.6,36.5,40.0,36.4
370,10966074,Avago Technologies,"Power-efficient, balanced, and reliable true wireless Bluetooth stereo audio solution",2021-03-30,"Avago Technologies International Sales Pte. Limited",12.2,0.89,1,1,1,"Apple",wireless-services,"Wireless Services",cpc-subgroup,,,,,,5,4,4,5,,32.5,36.2,40.3,36.3
371,8631458,Symantec Enterprise,"Method and apparatus for elastic (re)allocation of enterprise workloads on clouds while minimizing compliance costs",2014-01-14,"Symantec Corporation",5.0,0.59,77,29,6,"Amazon; Dell EMC; McAfee; Zscaler; Cisco; Oracle",computing-runtime,"Computing Runtime",cpc-subgroup,,,,,,4,2,4,,,38.6,35.8,34.5,36.3
372,10992568,VMware,"High performance software-defined core network",2021-04-27,"VMware LLC",15.3,1.00,85,2,2,"Cisco; Microsoft",,"",none,,,,,,,,,,,31.2,37.5,40.2,36.3
373,8793361,Blue Coat Systems,"Traffic synchronization across multiple devices in wide area network topologies",2014-07-29,"Blue Coat Systems, Inc.",8.5,0.74,28,14,7,"Extreme Networks; IBM; Microsoft; Cisco; Palo Alto Networks; NEC; ZTE",,"",none,,,,,,,,,,,38.9,33.9,36.1,36.3
374,11895173,Avago Technologies,"Gapped and/or subsegmented adaptive bitrate streams",2024-02-06,"Avago Technologies International Sales Pte. Limited",15.1,1.00,1,0,0,"",streaming-multimedia,"Streaming & Multimedia",cpc-subgroup,,,,,,4,3,4,5,3.5,29.1,35.4,44.3,36.3
375,8526351,Broadcom,"Channel characterization and training within multiple user, multiple access, and/or MIMO wireless communications",2013-09-03,"Broadcom Corporation",4.6,0.57,206,98,1,"Marvell",wireless-services,"Wireless Services",cpc-subgroup,,,,,,,,,,,38.2,37.2,33.3,36.2
376,11606286,VMware,"High performance software-defined core network",2023-03-14,"VMware LLC",17.1,1.00,46,3,2,"Cisco; Oracle",,"",none,,,,,,,,,,,32.5,36.3,39.9,36.2
377,10206099,Symantec Enterprise,"Geolocation-based two-factor authentication",2019-02-12,"Symantec Corporation",10.1,0.81,23,4,4,"Google; Microsoft; Cisco; Bank of America",cloud-auth,"Cloud / Authentication",term,,,,,,4,3,4,5,1,35.0,35.9,37.8,36.2
378,8312064,Symantec Enterprise,"Method and apparatus for securing documents using a position dependent file system",2012-11-13,"Symantec Corporation",3.8,0.53,270,92,5,"Cisco; Oracle; Microsoft; Amazon; Forcepoint",cloud-auth,"Cloud / Authentication",term,,,,,,2,2,3,5,2.8,37.5,35.6,35.5,36.2
379,9106645,Symantec Enterprise,"Automatic reset for time-based credentials on a mobile device",2015-08-11,"Symantec Corporation",6.6,0.66,22,20,5,"Amazon; Bank of America; Dell EMC; Red Hat; Intel",cloud-auth,"Cloud / Authentication",term,,,,,,4,3,3,5,1,37.9,35.2,35.4,36.2
380,11637686,Avago Technologies,"Digital transmitter with duty cycle correction",2023-04-25,"Avago Technologies International Sales Pte. Limited",14.3,0.97,0,0,0,"",network-multiplexing,"Network Multiplexing",cpc-subgroup,,,,,,4,2,4,5,5,28.7,34.4,45.4,36.1
381,10230609,Nyansa,"System and method for using real-time packet data to detect and manage network issues",2019-03-12,"NYANSA, INC.",13.1,0.93,17,7,3,"Forescout; Oracle; Intel",,"",none,,,,,,,,,,,35.8,34.6,38.0,36.1
382,10142358,Symantec Enterprise,"System and method for identifying an invalid packet on a controller area network (CAN) bus",2018-11-27,"Symantec Corporation",9.9,0.80,17,8,1,"Intel",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,5,3,5,,,35.9,37.5,35.0,36.1
383,9961618,Avago Technologies,"Apparatus and method for performing low-power geo-fence operations",2018-05-01,"Avago Technologies General IP (Singapore) Pte. Ltd.",9.3,0.78,13,8,1,"Apple",wireless-iot,"Wireless / IoT Geofencing",term,,,,,,5,2,4,5,1,35.3,36.6,36.4,36.1
384,10042628,VMware,"Automated upgrade system for a service-based distributed computer system",2018-08-07,"VMware LLC",12.5,0.90,57,6,3,"ServiceNow; Bank of America; Oracle",,"",none,,,,,,,,,,,34.5,35.9,37.9,36.1
385,10573020,Symantec Enterprise,"Location validation through physical surroundings",2020-02-25,"Symantec Corporation",11.1,0.85,9,3,2,"Microsoft; PayPal",image-processing,"Image Processing",cpc-subgroup,,,,,,4,3,4,5,,33.2,35.3,39.6,36.0
386,8826426,Symantec Enterprise,"Systems and methods for generating reputation-based ratings for uniform resource locators",2014-09-02,"Symantec Corporation",5.6,0.62,68,34,5,"Palo Alto Networks; Microsoft; Oracle; Huawei; PayPal",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,,,,,,39.3,34.8,34.0,36.0
387,10942724,Pivotal Software,"Release lifecycle management system for multi-node application",2021-03-09,"PIVOTAL SOFTWARE, INC.",15.1,1.00,6,4,3,"Amazon; SAP; HPE",,"",none,,,,,,,,,,,34.7,33.8,39.5,36.0
388,10187323,Pivotal Software,"On-demand resource provisioning",2019-01-22,"PIVOTAL SOFTWARE, INC.",13.0,0.92,13,6,4,"Dell EMC; ServiceNow; HPE; Oracle",,"",none,,,,,,,,,,,35.9,33.9,38.1,36.0
389,8977842,Symantec Enterprise,"Hypervisor enabled secure inter-container communications",2015-03-10,"Symantec Corporation",6.1,0.64,52,25,7,"Amazon; Microsoft; Dell EMC; Red Hat; Samsung; Bank of America; Intel",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,,,,,,39.3,34.1,34.6,36.0
390,8307191,VMware,"Page fault handling in a virtualized computer system",2012-11-06,"VMware LLC",6.8,0.67,49,29,4,"IBM; Red Hat; HPE; Apple",,"",none,,,,,,,,,,,39.0,34.7,34.1,36.0
391,9166995,Symantec Enterprise,"Systems and methods for using user-input information to identify computer security threats",2015-10-20,"Symantec Corporation",6.8,0.67,42,33,3,"Splunk; Intel; Dell EMC",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,,,,,,39.2,34.8,33.9,35.9
392,10277625,Symantec Enterprise,"Systems and methods for securing computing systems on private networks",2019-04-30,"Symantec Corporation",10.3,0.82,11,7,1,"Netskope",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,5,2,5,,,35.6,37.2,35.0,35.9
393,11799777,Avago Technologies,"Method for transferring information across a data center network",2023-10-24,"Avago Technologies International Sales Pte. Limited",14.8,0.99,0,0,0,"",network-switching,"Network Switching & Routing",cpc-subgroup,,,,,,4,2,4,5,4,28.8,34.5,44.4,35.9
394,8341749,VMware,"Preventing malware attacks in virtualized mobile devices",2012-12-25,"VMware LLC",6.9,0.68,33,24,6,"Bank of America; Palo Alto Networks; Red Hat; Dell EMC; Google; Trend Micro",,"",none,,,,,,,,,,,39.3,33.8,34.5,35.9
395,11757705,Avago Technologies,"Advanced link tracking for virtual cluster switching",2023-09-12,"Avago Technologies International Sales Pte. Limited",14.7,0.99,11,0,0,"",network-management,"Network Management",cpc-subgroup,,,,,,3,2,3,5,5,27.3,34.3,46.0,35.9
396,8291159,VMware,"Monitoring and updating mapping of physical storage allocation of virtual machine without changing identifier of the storage volume assigned to virtual machine",2012-10-16,"VMware LLC",6.7,0.67,37,22,7,"HPE; IBM; Amazon; Splunk; Pure Storage; Dell EMC; NetApp",,"",none,,,,,,,,,,,39.2,33.7,34.7,35.8
397,10237123,Nicira (VMware SDN),"Dynamic recovery from a split-brain failure in edge nodes",2019-03-19,"Nicira, Inc.",13.2,0.93,150,3,2,"IBM; Google",,"",none,,,,,,,,,,,31.0,38.0,38.5,35.8
398,9900196,Avago Technologies,"Switching diversity in scalable radio frequency communication system",2018-02-20,"Avago Technologies General IP (Singapore) Pte. Ltd.",9.1,0.77,16,8,2,"Meta; Huawei",network-signal-processing,"Network Signal Processing",cpc-subgroup,,,,,,4,3,5,5,,34.5,35.1,37.9,35.8
399,9880837,VMware,"Artifact manager for release automation",2018-01-30,"VMware LLC",12.0,0.89,14,10,3,"Amazon; Red Hat; Dell EMC",,"",none,,,,,,,,,,,36.6,34.1,36.8,35.8
400,11194483,VMware,"Enriching a storage provider with container orchestrator metadata in a virtualized computing system",2021-12-07,"VMware LLC",15.9,1.00,39,3,2,"Red Hat; Tencent",,"",none,,,,,,,,,,,32.3,35.6,39.4,35.8
401,9300728,CA Technologies,"Controlling resource deployment thresholds in a distributed computer system",2016-03-29,"CA, Inc.",7.2,0.69,16,14,4,"Amazon; Microsoft; Salesforce; Intel",network-protocols,"Network Protocols",cpc-subgroup,,,,,,5,3,4,,,37.3,35.8,34.1,35.7
402,9614833,Symantec Enterprise,"Automated certificate management for a website associated with multiple certificates",2017-04-04,"Symantec Corporation",8.2,0.73,14,12,5,"Amazon; Citrix; Dell EMC; Cloudflare; Bank of America",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,4,3,4,,,37.4,35.0,34.8,35.7
403,8843933,VMware,"System and method for managing a virtualized computing environment",2014-09-23,"VMware LLC",8.7,0.75,35,16,5,"Google; Qualcomm; IBM; Intel; Microsoft",,"",none,,,,,,,,,,,37.9,34.1,35.2,35.7
404,8239915,Symantec Enterprise,"Endpoint management using trust rating data",2012-08-07,"Symantec Corporation",3.6,0.52,206,78,4,"Cisco; Sophos; SailPoint; Dell EMC",network-secure-compute,"Secure Computing & MPC",cpc-subgroup,,,,,,,,,,,38.2,35.9,33.1,35.7
405,9692698,Nicira (VMware SDN),"Methods and systems to offload overlay network packet encapsulation to hardware",2017-06-27,"Nicira, Inc.",11.4,0.86,37,8,4,"IBM; Citrix; Cisco; HPE",,"",none,,,,,,,,,,,35.8,34.6,36.8,35.7
406,10378893,CA Technologies,"Location detection sensors for physical devices",2019-08-13,"CA, Inc.",10.6,0.83,234,0,0,"",wireless-services,"Wireless Services",cpc-subgroup,,,,,,4,3,4,5,5,26.8,37.9,42.3,35.7
407,11784935,Avago Technologies,"Centralized aggregated elephant flow detection and management",2023-10-10,"Avago Technologies International Sales Pte. Limited",14.7,0.99,0,0,0,"",network-switching,"Network Switching & Routing",cpc-subgroup,,,,,,4,2,4,5,4,28.6,34.3,44.1,35.7
408,11765085,Avago Technologies,"Switch with network services packet processing by service software instances",2023-09-19,"Avago Technologies International Sales Pte. Limited",14.7,0.99,0,0,0,"",network-management,"Network Management",cpc-subgroup,,,,,,4,2,5,5,4,28.6,34.3,44.1,35.7
409,12413373,Avago Technologies,"Overlapping OFDMA channels for coexistence of 3.1 mid-split and high-split cable modems",2025-09-09,"Avago Technologies International Sales Pte. Limited",16.6,1.00,0,0,0,"",network-multiplexing,"Network Multiplexing",cpc-subgroup,,,,,,4,3,4,5,3.5,28.7,34.5,43.8,35.7
410,12407488,Avago Technologies,"Quadrature divider error correction",2025-09-02,"Avago Technologies International Sales Pte. Limited",16.6,1.00,0,0,0,"",network-multiplexing,"Network Multiplexing",cpc-subgroup,,,,,,4,2,4,5,3.5,28.7,34.5,43.8,35.7
411,12389348,Avago Technologies,"Frame formats for distributed MIMO",2025-08-12,"Avago Technologies International Sales Pte. Limited",16.6,1.00,0,0,0,"",wireless-scheduling,"Wireless Scheduling",cpc-subgroup,,,,,,4,2,4,5,3.5,28.7,34.5,43.8,35.7
412,12381830,Avago Technologies,"Efficient TLV style header parsing and editing",2025-08-05,"Avago Technologies International Sales Pte. Limited",16.6,1.00,0,0,0,"",network-protocols,"Network Protocols",cpc-subgroup,,,,,,4,3,3,5,3.5,28.7,34.5,43.8,35.7
413,12382491,Avago Technologies,"Multi-user (MU) enhanced distributed channel access (EDCA) termination signaling",2025-08-05,"Avago Technologies International Sales Pte. Limited",16.6,1.00,0,0,0,"",wireless-scheduling,"Wireless Scheduling",cpc-subgroup,,,,,,4,2,4,5,3.5,28.7,34.5,43.8,35.7
414,12360552,Avago Technologies,"Synchronization of devices with a gapped reference clock",2025-07-15,"Avago Technologies International Sales Pte. Limited",16.5,1.00,0,0,0,"",computing-systems,"Computing Systems",cpc-subgroup,,,,,,4,3,4,5,3.5,28.7,34.5,43.8,35.7
415,12355687,Avago Technologies,"Distributed tone plan",2025-07-08,"Avago Technologies International Sales Pte. Limited",16.5,1.00,0,0,0,"",network-multiplexing,"Network Multiplexing",cpc-subgroup,,,,,,4,2,4,5,3.5,28.7,34.5,43.8,35.7
416,12340437,Avago Technologies,"Best effort video processing",2025-06-24,"Avago Technologies International Sales Pte. Limited",16.4,1.00,0,0,0,"",image-processing,"Image Processing",cpc-subgroup,,,,,,4,3,3,5,3.5,28.7,34.5,43.8,35.7
417,12316336,Avago Technologies,"Systems for and methods of phase interpolation",2025-05-27,"Avago Technologies International Sales Pte. Limited",16.4,1.00,0,0,0,"",network-multiplexing,"Network Multiplexing",cpc-subgroup,,,,,,4,2,4,5,3.5,28.7,34.5,43.8,35.7
418,12284136,Avago Technologies,"Punctured null data packet (NDP) within wireless communications",2025-04-22,"Avago Technologies International Sales Pte. Limited",16.3,1.00,0,0,0,"",network-multiplexing,"Network Multiplexing",cpc-subgroup,,,,,,4,2,4,5,3.5,28.7,34.5,43.8,35.7
419,12218837,Avago Technologies,"Systems for and methods of network telemetry using a repurposed field",2025-02-04,"Avago Technologies International Sales Pte. Limited",16.1,1.00,0,0,0,"",network-switching,"Network Switching & Routing",cpc-subgroup,,,,,,4,3,4,5,3.5,28.7,34.5,43.8,35.7
420,12199745,Avago Technologies,"Time synchronization based on lookup table",2025-01-14,"Avago Technologies International Sales Pte. Limited",16.0,1.00,0,0,0,"",network-management,"Network Management",cpc-subgroup,,,,,,4,3,4,5,3.5,28.7,34.5,43.8,35.7
421,12199873,Avago Technologies,"Scalable E2E network architecture and components to support low latency and high throughput",2025-01-14,"Avago Technologies International Sales Pte. Limited",16.0,1.00,0,0,0,"",network-switching,"Network Switching & Routing",cpc-subgroup,,,,,,4,2,4,5,3.5,28.7,34.5,43.8,35.7
422,12176907,Avago Technologies,"Systems for and methods of jitter reduction",2024-12-24,"Avago Technologies International Sales Pte. Limited",15.9,1.00,0,0,0,"",network-multiplexing,"Network Multiplexing",cpc-subgroup,,,,,,4,3,4,5,3.5,28.7,34.5,43.8,35.7
423,12170617,Avago Technologies,"Switch with network services packet processing by service software instances",2024-12-17,"Avago Technologies International Sales Pte. Limited",15.9,1.00,0,0,0,"",network-management,"Network Management",cpc-subgroup,,,,,,4,3,5,5,3.5,28.7,34.5,43.8,35.7
